ID,Name,Description,Dosage,Image,Quick Fix,Category
1,KONJAC,Very rich in fiber. KONJAC is known for its appetite suppressant effect. Reduces appetite and helps to limit snacking. Helps digestion and promotes the elimination of bad cholesterol,350mg,,,Weightloss
2,GREEN TEA,"Powerful antioxidant. GREEN TEA helps to eliminate and reduce localized fat. By increasing the rate of your metabolism. it provokes the consumption of calories and thus weightloss. It is a ""fat burner"".",500mg,,,Weightloss
3,WINE POMACE,WINE POMACE contains a high concentration of components with laxative and anti-fat properties. It thus helps to eliminate the orange peel skin by disinfiltrating the tissues. Excellent natural drainer.,250mg,,,Weightloss
4,FERMENTED PAPAYA,The PAPAYA promotes weight loss because it splits pectins certain sugars and lipids. It is an ideal ally of weight loss and an excellent antioxidant.,295mg,,,Weightloss
5,ESCHOLTZIA,The ESCHOLTZIA is a plant whose virtues are ideal for the natural treatment of insomnia and anxiety. Aids with relaxation.,250mg,,,Sleep
6,MELATONIN,Considered as the sleep hormone. MELATONIN in light dosage it will promote total recovery and reduce night wakings without addiction.,0.3mg,,,Sleep
7,HOPS,HOPS is often used to treat anxiety and sleep disorders. So it is known for its effectiveness on sleep.,200mg,,,Sleep
8,PASSIFLORA,PASSIFLORA is sought after for its sedative and anxiolytic qualities. Find calm and a restful sleep.,400mg,,,Sleep
9,GINSENG,GINSENG is known for its excellent energizing virtues. Also helps in muscle development. Good mental condition protects the cells and the immune system.,320mg,,,Energy
10,SPIRULINA,"Part of the list of ""superfoods"". SPIRULINA is an essential for its multiple active ingredients. Very rich in nutrients (VIT A. E. B12. Iron and Manganese) acts on immunity vitality cell protection and allergies.",500mg,,,Energy
11,MAGNESIUM,Lack of MAGNESIUM can exhaust the body. It is essential for our metabolism to function at peak performance.,800mg,,,Energy
12,ROYAL JELLY,ROYAL JELLY is very effective against chronic fatigue. Also known for its anti-viral and immunostimulant action. Supports our resistance.,210mg,,,Energy
13,ZINC,All the benefits of chelated ZINC. in its most bioavailable and gentle form for the intestine. An essential mineral for the human body. it is involved in many stages of cellular metabolism such as DNA synthesis and cell division. It is involved in no less than 200 enzymatic reactions. It is essential to the normal functioning of the immune system.,10mg,,,Immunity
14,SHITAKE,The SHITAKE has cellular mechanisms of action which notably concern its capacity to support the immune system. Used for thousands of years in Chinese medicine. it is recognized for its health benefits because it is rich in vitamins. minerals and bioactive molecules such as beta-glucans.,250mg,,,Immunity
15,THYM,THYM tones the body in general. It is recommended to improve breathing disorders to soften the throat and pharynx the vocal cords. It is an excellent anti-infectant. Contains natural anti-oxidants and also promotes digestion.,210mg,,,Immunity
16,ROYAL JELLY,ROYAL JELLY is very effective against chronic fatigue. Also known for its anti-viral and immunostimulant action. Supports our resistance.,210mg,,,Immunity
17,COLLAGENE,COLLAGEN brings elasticity and hydration to tissues. Naturally contains elastin and hyaluronic acid. Excellent bioavailability of amino acids.,300mg,,,Skin
18,BORAGE OIL,BORAGE OIL is recommended to hydrate the skin in depth. Restores suppleness and firmness. Also used for hair and nail health.,500mg,,,Skin
19,BEER YEAST,BEER YEAST is rich in nutrients essential to the health of the skin such as VIT B. Improvement of the epidermis nail resistance and hair growth. Well-being and balance of the flora recovered.,320mg,,,Skin
20,SILICON,SILICON brings health and benefits to the skin. It also helps to fix calcium and fight against bone demineralization. Contributes to relieve certain cutaneous and articular affections.,250mg,,,Skin
21,SPIRULINA,"Part of the list of ""superfoods"". SPIRULINA is an essential for its multiple active ingredients. Very rich in nutrients (VIT A .E. B12. Iron and Manganese) acts on immunity vitality cell protection and allergies.",500mg,,,Exercise
22,COENZYME Q10,COENZYME Q10 is a nutrient that plays a major role in our body because every cell in the body contains it. Athletes that take CoQ10 see a significant increase in their performance. It is involved in the creation and transport of energy. Organs like the heart lungs and kidneys need it to function.,100mg,,,Exercise
23,L CARNITINE,L CARNITINE is the combination of 2 amino acids prized by athletes: Lysine and methionine. These nutrients transform fat reserves into muscle and play a central role in energy metabolism. Helps muscle recovery regulation of blood cholesterol levels and weight loss. Reduction of muscular damage.,500mg,,,Exercise
24,ELEUTHEROCOCCUS,ELEUTHEROCOCCUS favors physical and moral performance. It increases resistance your physical well-being and allows for energy to be released quickly.,200mg,,,Exercise
25,DESMODIUM,,,,,Detox
26,FENNEL,The anti-spasmodic properties of the FENNEL limit the formation of gas and stimulate the lazy intestine. Calms colitis and stomach ache.,250mg,,,Detox
27,CHLORELLA,,,,,Detox
28,LINDEN,,,,,Detox
29,PROPOLIS,PROPOLIS strengthens the bacterial flora and makes digestion easier. It has healing qualities by relieving many ailments such as ulcers and gastritis.,150mg,,,Digestion
30,CURCUMIN,CURCUMIN promotes the production of bile and its evacuation in the small intestine which facilitates digestion. Find a feeling of lightness and a facilitated transit.,300mg,,,Digestion
31,BROMELAIN,BROMELAIN is a complex of enzymes which facilitates the digestion of proteins by splitting them into amino acids. Allows to limit digestive discomforts such as burns and bloating.,500mg,,,Digestion
32,FENNEL,The anti-spasmodic properties of the FENNEL limit the formation of gas and stimulate the lazy intestine. Calms colitis and stomach ache.,250mg,,,Digestion
33,GLUCOSAMINE,,,,,Articulation
34,BAMBOO,,,,,Articulation
35,LITHOTAME,,,,,Articulation
36,COLLAGENE,COLLAGEN brings elasticity and hydration to tissues. Naturally contains elastin and hyaluronic acid. Excellent bioavailability of amino acids.,300mg,,,Articulation